retail_price,discount_percentage,product_name_length,description_length,brand_frequency,product_rating
700.0,35.0,52,235,5,
4200.0,67.14285714285714,45,222,469,
1160.0,65.60344827586206,34,664,5864,
4000.0,76.275,54,546,7,
350.0,14.285714285714285,44,217,5,
499.0,10.02004008016032,57,197,5864,
21230.0,23.83419689119171,50,231,3,
799.0,50.06257822277848,32,193,79,
899.0,69.9666295884316,26,181,2,
4900.0,67.36734693877551,43,218,469,
499.0,20.04008016032064,19,651,5864,
4495.0,0.0,16,172,5864,
1299.0,61.585835257890686,46,354,5864,
799.0,47.559449311639554,37,204,5864,
2295.0,15.99128540305011,30,157,1,
1899.0,17.588204318062136,54,247,1,
2199.0,72.76034561164165,42,639,250,
790.0,65.82278481012658,66,263,10,
549.0,9.107468123861564,36,772,5864,
5295.0,0.0,31,1270,1,
4900.0,67.36734693877551,42,216,469,
1300.0,50.76923076923077,30,191,66,
1399.0,10.007147962830592,37,203,5864,
2399.0,66.61108795331388,18,257,5,
699.0,72.24606580829757,22,177,5864,
499.0,30.060120240480963,39,220,5864,
550.0,10.0,31,411,3,
4718.0,15.006358626536668,74,221,3,
498.0,44.77911646586345,49,196,5864,1.0
749.0,53.40453938584779,47,229,5864,
1599.0,68.79299562226392,41,217,5864,1.0
1797.0,66.66666666666666,41,361,6,
399.0,52.63157894736842,42,215,27,
500.0,55.00000000000001,28,190,48,4.0
1199.0,75.97998331943286,27,761,2,
4200.0,67.14285714285714,42,216,469,
395.0,46.83544303797469,54,236,5864,
2199.0,50.022737608003645,22,181,5864,
2070.0,60.0,45,229,5864,
560.0,41.42857142857143,33,197,141,
40172.0,30.99920342527133,45,221,7,
1199.0,78.39866555462885,43,461,100,
799.0,25.03128911138924,136,403,1,
2099.0,26.15531205335874,26,136,2,
549.0,27.322404371584703,19,768,2,
1495.0,50.03344481605351,23,178,5864,
1415.0,15.053003533568903,37,241,5864,
998.0,50.0,27,777,73,
5499.0,60.92016730314602,75,2277,1,
3150.0,44.47619047619048,72,274,1,
1999.0,40.0200100050025,63,709,9,
452.0,0.0,102,2462,1,
799.0,69.96245306633291,40,214,314,
850.0,61.76470588235294,22,390,21,
799.0,0.0,30,188,5864,
3999.0,50.01250312578145,31,1777,5864,
2400.0,69.83333333333334,28,456,1,
745.0,9.395973154362416,71,271,29,
2000.0,50.05,32,193,15,
2999.0,73.35778592864288,39,127,2,
1999.0,57.5287643821911,62,387,5864,
45563.0,25.89820687838816,55,241,99,
495.0,30.303030303030305,26,442,5864,4.0
1400.0,74.42857142857143,44,239,141,
899.0,20.13348164627364,35,198,5864,
1290.0,30.0,32,312,5864,
799.0,52.56570713391739,43,319,1,
599.0,33.3889816360601,42,213,38,
4984.0,0.0,44,170,13,
4900.0,67.36734693877551,38,208,469,
4900.0,67.36734693877551,41,214,469,
650.0,53.84615384615385,45,185,5864,
1300.0,50.76923076923077,30,191,66,
1199.0,54.21184320266889,43,216,5864,
749.0,46.728971962616825,31,336,5,
1495.0,10.033444816053512,41,253,5864,
699.0,70.10014306151645,16,243,1,
3545.0,55.14809590973202,27,186,3,
999.0,0.0,52,274,5864,4.0
949.0,69.54689146469968,31,200,85,
8727.0,61.53317291165349,44,220,83,
1399.0,0.0,37,244,22,
779.0,20.025673940949936,40,211,83,
1980.0,77.52525252525253,77,283,13,
4999.0,43.18863772754551,17,144,7,
1800.0,56.777777777777786,23,292,2,
1295.0,50.810810810810814,42,250,1,
1199.0,82.06839032527105,43,217,22,
1099.0,36.39672429481347,35,171,5864,
999.0,40.04004004004004,29,189,21,
750.0,80.26666666666667,66,261,2,
4900.0,67.36734693877551,44,220,469,
1999.0,55.02751375687844,36,612,5864,
1770.0,60.50847457627119,22,196,5864,
999.0,67.96796796796797,30,189,167,5.0
999.0,75.07507507507508,48,227,1,
499.0,78.15631262525051,45,217,110,
3499.0,57.15918833952558,59,186,9,
1499.0,76.71781187458305,45,1091,5,
399.0,59.89974937343359,30,189,167,
1200.0,33.33333333333333,21,397,4,
795.0,0.0,47,337,5864,3.3
1599.0,0.0,53,235,5864,
43400.0,25.0,39,209,13,
999.0,50.05005005005005,17,633,2,
1049.0,61.96377502383223,41,211,12,
2149.0,57.23592368543508,29,117,23,
549.0,36.42987249544626,26,1968,7,
1500.0,26.73333333333333,30,954,1,
1499.0,49.96664442961974,36,200,5864,
499.0,0.0,37,215,10,
1999.0,15.70785392696348,46,543,144,
1399.0,72.337383845604,33,194,314,3.7
600.0,50.0,24,164,5864,
2399.0,0.0,38,127,53,
1950.0,23.07692307692308,64,260,5864,
2499.0,60.024009603841534,31,207,5864,
999.0,85.08508508508508,40,209,167,
899.0,0.0,38,260,1,5.0
610.0,50.32786885245901,21,483,299,
899.0,66.74082313681868,41,213,3,
449.0,49.88864142538976,35,329,1,
1499.0,73.3822548365577,19,956,1,
2499.0,55.98239295718287,47,125,5864,
3999.0,18.829707426856714,8,135,28,3.7
825.0,36.36363636363637,35,201,1,
799.0,62.57822277847309,57,545,5864,
899.0,0.0,45,219,5864,
999.0,0.0,31,191,5864,
999.0,65.46546546546547,28,185,13,
1350.0,70.44444444444444,32,203,5864,
799.0,63.07884856070088,24,158,17,
350.0,10.0,75,279,13,
2832.0,32.94491525423729,26,313,3,
999.0,60.06006006006006,32,193,34,
799.0,50.06257822277848,40,1498,5864,
555.0,54.054054054054056,53,242,34,
960.0,0.0,21,161,12,
998.0,55.01002004008016,39,193,85,
400.0,4.75,28,185,299,
560.0,62.5,36,205,100,
899.0,0.0,42,211,5864,
150.0,3.333333333333333,37,212,1,
10749.0,15.006047074146434,97,468,1,
35184.0,24.775466120964072,49,227,99,
2600.0,19.230769230769237,42,216,4,3.0
199.0,39.69849246231156,34,199,1,
1399.0,40.02859185132237,39,221,5864,3.0
999.0,63.06306306306306,24,1570,5864,
3999.0,25.006251562890725,40,321,1,
1499.0,64.04269513008673,79,2296,27,
999.0,52.45245245245245,59,1303,5,
2799.0,57.1632725973562,43,656,12,
999.0,85.08508508508508,40,214,48,
199.0,0.0,34,530,1,
599.0,16.69449081803005,36,556,5864,3.0
1499.0,70.04669779853235,39,344,3,
499.0,51.10220440881763,58,694,11,
4900.0,67.36734693877551,38,208,469,
360.0,0.0,28,175,5864,
549.0,29.143897996357016,34,154,5864,4.0
1500.0,41.333333333333336,32,1060,10,
5899.0,51.178165790812,29,595,18,
900.0,34.88888888888889,39,790,1,
2750.0,67.27272727272727,33,195,15,
550.0,49.09090909090909,26,542,25,
1349.0,46.70126019273536,22,1031,2,5.0
499.0,64.92985971943888,33,197,5864,
2099.0,55.4073368270605,33,890,1,
1299.0,0.0,45,220,5864,
180.0,8.333333333333332,37,184,5864,
1099.0,58.23475887170154,19,191,5864,
499.0,32.06412825651302,37,203,299,1.0
999.0,73.07307307307308,60,1463,1,
629.0,36.56597774244833,66,1979,74,
1600.0,43.8125,28,187,5864,1.0
349.0,28.653295128939828,61,527,1,
289.0,18.68512110726644,99,1229,3,
699.0,50.07153075822603,27,540,1,
649.0,53.929121725731896,59,727,155,
499.0,60.120240480961925,46,772,5864,
995.0,0.0,47,287,5864,5.0
666.0,50.0,17,163,25,
1299.0,55.0423402617398,48,862,5864,
180.0,8.333333333333332,23,170,5864,
1899.0,50.026329647182735,28,626,5864,
1839.0,33.87710712343665,45,222,83,
499.0,60.120240480961925,46,772,5864,
1299.0,53.88760585065435,38,1913,34,
1050.0,23.904761904761905,39,610,59,
249.0,40.16064257028113,35,201,1,
1799.0,20.01111728738188,37,961,5864,
1260.0,0.0,81,1386,2,
10393.0,25.00721639565092,28,2692,2,
2695.0,29.53617810760668,28,558,5864,5.0
1099.0,45.49590536851683,19,559,14,
29282.0,28.28358718666757,45,164,26,
810.0,51.23456790123457,69,485,10,
2100.0,50.0,34,573,15,
999.0,72.87287287287288,26,593,1,
5700.0,50.0,86,913,1,
999.0,67.06706706706707,60,842,36,
1205.0,20.0,27,125,5864,
1232.0,50.0,46,1297,2,
1899.0,74.19694576092681,49,228,314,5.0
899.0,16.68520578420467,44,308,5864,
1300.0,30.0,38,207,1,
891.0,66.66666666666666,39,1254,6,
900.0,44.333333333333336,44,219,1,
2200.0,52.0,31,192,3,
850.0,3.7647058823529407,22,173,299,
3150.0,80.0,47,301,14,
849.0,73.4982332155477,31,341,12,
999.0,67.06706706706707,64,858,36,
1399.0,20.08577555396712,40,208,5864,
799.0,40.05006257822278,58,245,314,4.0
1839.0,33.87710712343665,39,210,83,
2500.0,20.04,28,188,2,
700.0,43.0,39,209,59,
999.0,50.05005005005005,17,223,1,
299.0,33.44481605351171,30,549,13,
799.0,54.31789737171464,23,268,8,
500.0,20.0,22,169,5864,
550.0,23.81818181818182,69,269,33,
3000.0,43.333333333333336,16,748,1,
399.0,59.89974937343359,57,243,155,
379.0,10.29023746701847,31,178,5864,
1800.0,52.83333333333333,34,93,7,
849.0,73.4982332155477,31,341,110,
600.0,62.5,33,194,71,
290.0,10.0,38,205,37,
399.0,0.0,46,221,13,
895.0,0.0,41,276,5864,5.0
1299.0,38.49114703618168,43,1030,1,
49.0,0.0,46,642,1,
4295.0,25.0058207217695,44,694,5864,
2529.0,0.0,35,124,53,
1399.0,0.0,33,327,314,
999.0,50.05005005005005,36,759,1,
33651.0,22.78981308133488,40,383,211,
1299.0,30.023094688221708,26,667,7,
2498.0,56.16493194555644,41,130,5,
1695.0,0.0,29,1094,7,
40034.0,30.15436878653145,47,225,211,
400.0,65.0,27,183,26,
375.0,25.333333333333336,54,194,5864,
999.0,65.06506506506507,37,207,288,
499.0,30.060120240480963,33,195,8,5.0
600.0,16.0,88,307,5864,
999.0,74.97497497497497,48,227,17,
999.0,10.01001001001001,61,439,25,
499.0,50.1002004008016,40,211,14,
3399.0,60.01765225066195,29,199,5864,4.4
695.0,30.215827338129497,51,232,1,
799.0,35.16896120150187,53,141,7,
649.0,61.63328197226502,51,231,46,
4680.0,40.0,55,242,5864,
69300.0,35.0,28,189,31,
379.0,0.0,23,175,18,
2090.0,63.63636363636363,33,137,5864,
180.0,8.333333333333332,31,178,5864,
949.0,68.38777660695469,29,339,85,
999.0,45.04504504504504,44,217,5864,
799.0,68.8360450563204,26,181,8,
1300.0,44.38461538461539,39,1000,141,
3150.0,57.14285714285714,39,210,469,
1399.0,57.18370264474625,25,173,5864,
849.0,20.141342756183743,39,208,5864,
2450.0,62.44897959183674,43,217,469,
3424.0,56.98014018691588,45,222,83,
699.0,57.22460658082976,24,923,2,
499.0,30.060120240480963,31,794,2,
4210.0,55.34441805225653,83,855,7,
1999.0,40.22011005502751,51,140,7,
1730.0,50.0,44,1060,6,
1580.0,8.227848101265822,43,401,3,
598.0,33.27759197324415,26,183,73,
15999.0,50.72817051065691,47,686,1,3.7
999.0,70.07007007007007,43,215,5864,
495.0,50.505050505050505,56,241,33,
1099.0,63.69426751592356,52,332,79,
1050.0,43.42857142857143,39,995,141,
1200.0,79.16666666666666,34,197,40,
1494.0,23.09236947791165,40,430,5,
555.0,0.0,27,244,3,
799.0,0.0,62,318,5864,
33706.0,28.727822939535987,43,162,26,
499.0,64.92985971943888,54,239,5864,
749.0,40.18691588785047,45,219,5864,
1699.0,50.02942907592701,38,207,288,
1199.0,0.0,18,324,5,
995.0,0.0,24,164,12,
699.0,64.37768240343348,25,171,5864,
649.0,61.63328197226502,51,364,46,
599.0,33.3889816360601,27,389,2,
3299.0,75.78053955744166,35,1069,5864,
3897.0,53.83628432127278,82,296,27,
549.0,55.009107468123865,25,179,46,
1995.0,0.0,23,297,5864,
1599.0,59.41213258286429,29,454,2,
2499.0,80.03201280512204,36,201,288,
1199.0,66.72226855713093,18,324,3,
1575.0,0.0,46,341,9,
950.0,57.99999999999999,31,192,22,
1299.0,26.943802925327176,34,1093,1,
1774.0,73.56257046223224,36,201,41,4.3
1999.0,15.70785392696348,44,1012,144,
2099.0,30.014292520247736,36,202,288,
899.0,52.28031145717463,70,776,30,
699.0,64.37768240343348,27,183,7,
1025.0,12.195121951219512,27,515,10,
1445.0,10.034602076124568,29,406,1,2.0
1400.0,74.42857142857143,41,236,141,
489.0,20.449897750511248,30,452,4,
1000.0,70.0,34,197,26,
475.0,0.0,25,545,5864,
1200.0,41.75,47,225,59,
459.0,56.644880174291934,101,1299,74,
999.0,58.55855855855856,43,215,167,
1750.0,51.42857142857142,44,660,2,
2999.0,68.3561187062354,25,113,2,
999.0,70.07007007007007,40,208,5864,
1340.0,50.0,32,352,6,
